lat,lng,class,lswi,ci,evi,mndwi,ndbi,ndwi,savi,ndvi,ndpi,wetness,wwi
563670.9171,2723366.874,vegetation,0.1653948,0.4672593,-3.4069605,-0.16464357,-0.1653948,0.1653948,0.5446158,0.3630856,-0.042499367,0.32753807,0.49218163
561247.0687,2721399.385,vegetation,0.18338308,0.5450265,-1.4129413,-0.06260115,-0.18338308,0.18338308,0.44170228,0.29447618,-0.05285191,0.31023467,0.37283581
562028.5712,2722655.076,vegetation,0.1621498,0.7134187,-0.49618617,0.044177905,-0.1621498,0.1621498,0.25087726,0.16725698,-0.064727075,0.2306203,0.18644239
562028.5712,2722655.076,vegetation,0.1621498,0.7134187,-0.49618617,0.044177905,-0.1621498,0.1621498,0.25087726,0.16725698,-0.064727075,0.2306203,0.18644239
562962.213,2721876.62,vegetation,0.19674331,0.4961872,-2.5359373,-0.103083916,-0.19674331,0.19674331,0.5050841,0.33673114,-0.04444008,0.3278404,0.4309243
562882.885,2723598.086,vegetation,0.11977141,0.88772327,-0.13083988,0.1097375,-0.11977141,0.11977141,0.08921263,0.05947732,-0.07096774,0.1505464,0.040808905
562006.5854,2727585.662,vegetation,0.16722736,0.51083547,-2.3554213,-0.1192125,-0.16722736,0.16722736,0.4856446,0.32377088,-0.042434048,0.31652257,0.43573508
563217.1001,2728765.097,vegetation,0.09627861,0.6518322,-0.8380436,-0.07534585,-0.09627861,0.09627861,0.31615603,0.21077673,-0.056227937,0.21600461,0.29135045
563500.6549,2729314.248,vegetation,0.13392225,0.5762373,-1.3510785,-0.09221971,-0.13392225,0.13392225,0.40325606,0.2688445,-0.04804148,0.26951554,0.36173525
562990.1219,2731503.356,vegetation,0.07289569,0.6655405,-0.9440059,-0.09998805,-0.07289569,0.07289569,0.30120856,0.20081136,-0.051551584,0.1993922,0.29938024
562987.2784,2732129.468,vegetation,0.1630614,0.56997496,-1.3849046,-0.07053787,-0.1630614,0.1630614,0.41084757,0.27390566,-0.051652107,0.28661874,0.3571566
562481.5039,2733301.164,vegetation,0.12013858,0.681732,-0.72927624,-0.02466324,-0.12013858,0.12013858,0.28386676,0.18925011,-0.048682958,0.21454105,0.23920429
561967.7575,2736272.956,vegetation,0.1360689,0.60153395,-1.0662466,-0.06707546,-0.1360689,0.1360689,0.37319374,0.24880277,-0.052912407,0.2569923,0.32406777
561749.4881,2737132.906,vegetation,0.18815066,0.49209288,-2.384456,-0.11198702,-0.18815066,0.18815066,0.5105865,0.34039912,-0.04578013,0.33542618,0.4474132
561530.8963,2738071.123,vegetation,0.02896162,0.5874142,-2.7821212,-0.21867612,-0.02896162,0.02896162,0.38985658,0.2599106,-0.037904058,0.18949327,0.4081694
561239.4837,2739322.086,vegetation,0.1608958,0.49096492,-2.6866992,-0.1412834,-0.1608958,0.1608958,0.5121078,0.3414132,-0.04008374,0.31622204,0.45750543
