lat,lng,class,lswi,ci,evi,mndwi,ndbi,ndwi,savi,ndvi,ndpi,wetness,wwi
615507.1659,2727849.168,vegetation,0.08310073,0.64146847,-1.083215,-0.104335,-0.08310073,0.08310073,0.32762277,0.21842119,-0.04867506,0.20731442,0.3116494
615741.3001,2725502.833,vegetation,0.15568136,0.5422596,-1.7955835,-0.101459466,-0.15568136,0.15568136,0.44518667,0.2967986,-0.04497882,0.28984055,0.3913
621529.4114,2718115.871,vegetation,0.21347098,0.46984562,-2.6604462,-0.097722515,-0.21347098,0.21347098,0.54101807,0.3606871,-0.038687713,0.3654675,0.46319002
621545.7712,2716237.37,vegetation,0.13505425,0.6237875,-0.9255398,-0.053508658,-0.13505425,0.13505425,0.34752226,0.23168822,-0.05731328,0.24490035,0.29840901
622012.2058,2712014.5,vegetation,0.20857015,0.4255306,-4.664389,-0.16105321,-0.20857015,0.20857015,0.60446644,0.40298638,-0.042149432,0.36992455,0.5309778
621747.5534,2709507.353,vegetation,0.062138144,0.5416291,-3.6872976,-0.21626016,-0.062138144,0.062138144,0.44598338,0.29732895,-0.03321338,0.22384635,0.4401065
621556.4524,2706766.035,vegetation,0.1675376,0.51622945,-1.7900345,-0.11131331,-0.1675376,0.1675376,0.47858006,0.31906155,-0.054899685,0.3018849,0.4131982
617977.8886,2706344.083,vegetation,0.12356432,0.4767758,-11.47832,-0.20765,-0.12356432,0.12356432,0.53144145,0.35430172,-0.01743152,0.29003984,0.49768984
617993.034,2704543.892,vegetation,0.084350325,0.5813472,-1.5279372,-0.14748384,-0.084350325,0.084350325,0.39710614,0.26474437,-0.047373712,0.21337484,0.36085868
617583.4699,2702113.948,vegetation,0.17016834,0.49799693,-2.3862612,-0.12730852,-0.17016834,0.17016834,0.5026621,0.3351162,-0.045949366,0.30820906,0.43551758
616240.0549,2699911.098,vegetation,0.21275696,0.46100727,-2.6880262,-0.113557495,-0.21275696,0.21275696,0.5533647,0.3689186,-0.048120786,0.3459769,0.4595344
614186.3691,2696841.618,vegetation,0.18329532,0.53400785,-1.6126611,-0.07162895,-0.18329532,0.18329532,0.4556495,0.30377427,-0.046972994,0.30994582,0.38157478
612838.7527,2695030.484,vegetation,0.20099038,0.46225977,-3.5835845,-0.124740005,-0.20099038,0.20099038,0.55160654,0.36774606,-0.033099424,0.3541967,0.4789367
